Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-03-17,395.69,400.12,393.0,399.27,46890500,395.69,400.12,393.0,399.27,46890467,0.0,0.0,0.0,0.0,33,Match
2026-03-18,399.0,403.07,392.31,392.78,50853100,399.0,403.065,392.31,392.78,50853149,0.0,0.0049999999999954525,0.0,0.0,49,Match
2026-03-19,387.27,387.27,378.73,380.3,67078300,387.27,387.27,378.73,380.3,67078259,0.0,0.0,0.0,0.0,41,Match
2026-03-20,379.85,379.89,364.46,367.96,78628600,379.85,379.89,364.4601,367.96,78628603,0.0,0.0,0.00010000000003174137,0.0,3,Match
2026-03-23,373.09,385.33,372.73,380.85,74606000,373.09,385.33,372.73,380.85,74606049,0.0,0.0,0.0,0.0,49,Match
2026-03-24,376.56,387.48,376.31,383.03,60004900,376.56,387.48,376.31,383.03,60004909,0.0,0.0,0.0,0.0,9,Match
2026-03-25,389.99,396.23,385.01,385.95,55157300,389.99,396.23,385.01,385.95,55157265,0.0,0.0,0.0,0.0,35,Match
2026-03-26,381.6,384.44,371.87,372.11,55522900,381.6,384.44,371.87,372.11,55522879,0.0,0.0,0.0,0.0,21,Match
2026-03-27,369.69,369.86,359.47,361.83,62065700,369.69,369.86,359.47,361.83,62065659,0.0,0.0,0.0,0.0,41,Match
2026-03-30,365.86,367.29,352.14,355.28,67954400,365.86,367.29,352.14,355.28,67954405,0.0,0.0,0.0,0.0,5,Match
2026-03-31,361.51,373.33,361.0,371.75,75534900,361.51,373.33,361.0,371.75,75534934,0.0,0.0,0.0,0.0,34,Match
2026-04-01,378.63,383.14,374.08,381.26,58683800,378.63,383.14,374.08,381.26,58683752,0.0,0.0,0.0,0.0,48,Match
2026-04-02,364.2,370.28,359.03,360.59,83031200,364.195,370.28,359.03,360.59,83031226,0.0049999999999954525,0.0,0.0,0.0,26,Match
2026-04-06,362.59,367.72,346.64,352.82,77697600,362.59,367.72,346.64,352.82,77697643,0.0,0.0,0.0,0.0,43,Match
2026-04-07,346.44,348.02,337.24,346.65,74515400,346.44,348.02,337.24,346.65,74515355,0.0,0.0,0.0,0.0,45,Match
2026-04-08,363.79,364.5,339.67,343.25,78838600,363.79,364.5,339.67,343.25,78838616,0.0,0.0,0.0,0.0,16,Match
2026-04-09,343.15,348.88,337.25,345.62,62164000,343.15,348.88,337.25,345.62,62164016,0.0,0.0,0.0,0.0,16,Match
2026-04-10,346.29,350.36,342.74,348.95,51336000,346.285,350.36,342.74,348.95,51336034,0.0049999999999954525,0.0,0.0,0.0,34,Match
2026-04-13,350.07,356.35,348.57,352.42,53617500,350.065,356.35,348.57,352.42,53617477,0.0049999999999954525,0.0,0.0,0.0,23,Match
2026-04-14,357.67,367.63,354.77,364.2,59979600,357.67,367.63,354.77,364.2,59979607,0.0,0.0,0.0,0.0,7,Match
2026-04-15,366.83,394.65,362.5,391.95,113810400,366.83,394.65,362.5,391.95,113810355,0.0,0.0,0.0,0.0,45,Match
2026-04-16,393.81,394.06,381.8,388.9,63515100,393.81,394.06,381.8,388.9,63515136,0.0,0.0,0.0,0.0,36,Match
